title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Every Breath You Take - Remastered 2003,The Police,1983,1593270737,117,C-sharp,Major,82,73,45,54,0,7,3
Viva La Vida,Coldplay,2008,1592909789,138,F,Minor,49,42,62,9,0,11,3
Save Your Tears,The Weeknd,2020,1591223784,118,unknown,Major,68,61,82,2,0,50,3
Kiss Me More (feat. SZA),SZA . Doja Cat,2021,1575467011,111,G-sharp,Major,77,74,66,30,0,13,3
Bad Habits,Ed Sheeran,2020,1555511105,126,B,Minor,81,59,90,5,0,36,3
Sweet Child O' Mine,Guns N' Roses,1987,1553497987,125,F-sharp,Major,45,67,90,9,11,10,5
Locked Out Of Heaven,Bruno Mars,2012,1481349984,144,F,Major,73,87,70,6,0,28,5
Payphone,Maroon 5 . Wiz Khalifa,2012,1479264469,110,E,Major,74,51,74,2,0,29,4
Take On Me,a-ha,1984,1479115056,84,F-sharp,Minor,57,86,90,2,0,9,5
Rolling in the Deep,Adele,2010,1472799873,105,G-sharp,Major,73,52,76,13,0,5,3
Somebody That I Used To Know,Gotye . Kimbra,2011,1457139296,129,unknown,Major,86,75,52,54,0,10,4
The Nights,Avicii,2014,1456081449,126,F-sharp,Major,53,66,85,2,0,24,4
Call Out My Name,The Weeknd,2018,1449799467,134,C-sharp,Major,45,17,60,21,0,33,4
All I Want for Christmas Is You,Mariah Carey,1994,1449779435,150,G,Major,34,33,63,16,0,7,4
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber . Daniel Caesar . Giveon,2021,1445941661,90,unknown,Major,63,49,68,38,0,42,18
Me Porto Bonito,Chencho Corleone . Bad Bunny,2022,1440757818,92,C-sharp,Minor,91,43,71,9,0,9,8
Adore You,Harry Styles,2019,1439191367,99,G-sharp,Major,68,57,77,2,0,10,5
The Real Slim Shady,Eminem,2000,1424589568,104,F,Minor,95,78,66,3,0,4,6
The Night We Met,Lord Huron,2015,1410088830,174,D,Major,45,10,37,97,25,64,4
Easy On Me,Adele,2021,1406111294,142,F,Major,60,13,37,58,0,13,3
Let Me Down Slowly,Alec Benjamin,2018,1374581173,150,C-sharp,Minor,65,51,55,73,0,14,3
Numb,Linkin Park,2003,1361425037,110,A,Major,50,24,86,0,0,64,4
Gangsta's Paradise,Coolio . L.V.,1995,1357608774,80,G-sharp,Major,63,40,61,9,0,56,6
Quevedo: Bzrp Music Sessions . Vol. 52,Bizarrap . Quevedo,2022,1356565093,128,D,Major,62,55,78,1,3,23,4
Blank Space,Taylor Swift,2014,1355959075,96,F,Major,75,57,68,9,0,13,6
Woman,Doja Cat,2021,1329090101,108,F,Minor,82,88,76,9,0,12,9
Flowers,Miley Cyrus,2023,1316855716,118,unknown,Major,71,65,68,6,0,3,7
Pepas,Farruko,2021,1309887447,130,G,Major,76,44,77,1,0,13,3
Callaita,Bad Bunny . Tainy,2019,1304313953,176,D,Major,61,24,62,60,0,24,31
